frac,frame,N,frac_in,n_out,expand,csv,png
T168_to_T169,0,23487,0.9985523906842083,34,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z000.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z000.png
T168_to_T169,1,23487,0.9983395069612977,39,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z001.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z001.png
T168_to_T169,2,23487,0.9987652744071188,29,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z002.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z002.png
T168_to_T169,3,23487,0.9980414697492229,46,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z003.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z003.png
T168_to_T169,4,23487,0.998467237195044,36,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z004.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z004.png
T168_to_T169,5,23487,0.9990207348746115,23,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z005.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z005.png
T168_to_T169,6,23487,0.9983395069612977,39,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z006.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z006.png
T168_to_T169,7,23487,0.9979988930046408,47,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z007.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z007.png
T168_to_T169,8,23487,0.9988504278962831,27,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z008.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z008.png
T168_to_T169,9,23487,0.9987226976625367,30,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z009.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z009.png
T168_to_T169,10,23487,0.9986375441733725,32,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z010.csv,/home/zhouyj/project/src/mouse_results copy/bound/T168_to_T169/bound_z010.png
