x_norm,y_norm
0.36033028,-0.96766603
0.39975095,-0.91726637
0.4391716,-0.86686677
0.47859228,-0.8164671
0.51801294,-0.7660675
0.5574336,-0.71566784
0.59685427,-0.66526824
0.63627493,-0.6148686
0.6756956,-0.564469
0.71511626,-0.5140693
0.75453687,-0.46366972
0.79395753,-0.4132701
0.8333782,-0.36287045
0.87279886,-0.31247082
0.9122195,-0.2620712
0.9516402,-0.21167156
0.99106085,-0.16127191
1.0304816,-0.11087229
1.0699022,-0.06047266
1.1093228,-0.010073027
1.1487435,0.040326606
1.1881641,0.090726234
1.2275848,0.14112587
1.2670054,0.1915255
1.3064262,0.24192514
1.3458468,0.29232475
1.3852675,0.34272438
1.4246881,0.393124
1.4641088,0.44352365
1.5035294,0.49392328
1.5429502,0.5443229
1.5823708,0.59472257
1.6217915,0.6451222
1.6612121,0.69552183
1.7006328,0.74592143
1.7400534,0.7963211
1.7794741,0.8467207
1.8148769,0.8967807
1.7675551,0.9398476
1.7202332,0.9829145
1.6649003,1.0070491
1.6010389,1.0110283
1.5371774,1.0150076
1.4733161,1.0189868
1.4094547,1.022966
1.3455114,1.024079
1.281527,1.0237483
1.2183851,1.0165687
1.1562277,1.0013839
1.094271,0.9854408
1.0327367,0.9679011
0.9712024,0.9503615
0.909668,0.93282187
0.84813374,0.91528225
0.7865994,0.89774257
0.7250651,0.88020295
0.66353077,0.8626633
0.6019964,0.8451237
0.54046214,0.8275841
0.47892782,0.8100444
0.4173935,0.7925048
0.3558592,0.77496517
0.29432487,0.75742555
0.23279054,0.7398859
0.17125623,0.72234625
0.109721914,0.7048066
0.0481876,0.687267
-0.013346717,0.6697274
-0.07488103,0.65218776
-0.13641535,0.6346481
-0.19794966,0.61710846
-0.259484,0.59956884
-0.3210183,0.5820292
-0.38255262,0.56448954
-0.44408694,0.5469499
-0.50562125,0.5294103
-0.56715554,0.5118707
-0.6286899,0.49433103
-0.6902242,0.4767914
-0.7517585,0.45925176
-0.81329286,0.44171214
-0.87482715,0.42417252
-0.9363615,0.40663287
-0.9978958,0.38909325
-1.0594301,0.3715536
-1.1209644,0.35401398
-1.1824987,0.33647433
-1.2440331,0.3189347
-1.3055674,0.3013951
-1.363331,0.27764514
-1.4072777,0.23113945
-1.4444556,0.18109079
-1.4576242,0.11847524
-1.4707927,0.05585969
-1.4839612,-0.0067558596
-1.4661568,-0.06736048
-1.4422431,-0.12659366
-1.4141077,-0.18406115
-1.3762888,-0.23421264
-1.3286964,-0.27698025
-1.2811041,-0.3197479
-1.2310878,-0.35965225
-1.1810503,-0.39953142
-1.1287162,-0.43586072
-1.0718302,-0.4651538
-1.0149441,-0.49444687
-0.95805794,-0.52373993
-0.9011718,-0.553033
-0.8442857,-0.58232605
-0.78739965,-0.6116192
-0.7305135,-0.64091223
-0.6703627,-0.66259134
-0.6099261,-0.6836041
-0.54948956,-0.70461684
-0.48905298,-0.7256296
-0.42861643,-0.74664235
-0.36817986,-0.7676551
-0.30774328,-0.78866786
-0.24730672,-0.8096806
-0.18687014,-0.83069336
-0.12643358,-0.8517061
-0.06599701,-0.8727189
-0.005560445,-0.8937316
0.054876123,-0.9147444
0.11531269,-0.9357571
0.17574926,-0.9567698
0.23618583,-0.9777826
0.29774135,-0.9809603
