x_norm,y_norm
0.3542331,-0.9818869
0.39224786,-0.93205106
0.43026266,-0.8822152
0.46827742,-0.83237934
0.5062922,-0.78254354
0.544307,-0.7327077
0.58232176,-0.6828718
0.6203366,-0.63303596
0.65835136,-0.5832001
0.69636613,-0.53336424
0.7343809,-0.4835284
0.7723957,-0.43369254
0.8104105,-0.3838567
0.84842527,-0.33402085
0.88644004,-0.284185
0.9244548,-0.23434915
0.96246964,-0.1845133
1.0004843,-0.13467745
1.0384992,-0.084841594
1.076514,-0.035005745
1.1145288,0.014830106
1.1525435,0.06466596
1.1905583,0.11450181
1.2285731,0.16433766
1.2665879,0.21417351
1.3046026,0.26400936
1.3426174,0.31384522
1.3806323,0.36368108
1.418647,0.4135169
1.4566618,0.46335277
1.4946766,0.5131886
1.5326914,0.56302446
1.5707061,0.6128603
1.6087209,0.6626962
1.6467357,0.71253204
1.6847504,0.7623679
1.7227653,0.8122037
1.7242303,0.8589321
1.6783478,0.90163493
1.6324652,0.9443378
1.572731,0.956369
1.5103575,0.96255606
1.447984,0.96874315
1.3856105,0.9749302
1.3232349,0.98108894
1.2606045,0.9835728
1.1979742,0.98605657
1.1361619,0.97730947
1.0745527,0.96577495
1.013787,0.95061785
0.9534207,0.9337466
0.89305437,0.91687524
0.83268803,0.90000397
0.7723217,0.88313264
0.71195537,0.86626136
0.65158904,0.84939003
0.5912227,0.8325187
0.5308564,0.8156474
0.47049004,0.7987761
0.4101237,0.7819048
0.34975737,0.7650335
0.28939104,0.7481622
0.2290247,0.7312909
0.16865836,0.71441954
0.10829203,0.6975483
0.047925692,0.68067694
-0.012440643,0.66380566
-0.07280698,0.64693433
-0.13317332,0.63006306
-0.19353965,0.6131917
-0.25390598,0.5963204
-0.3142723,0.5794491
-0.37463865,0.5625778
-0.43500498,0.5457065
-0.4953713,0.5288352
-0.5557377,0.5119639
-0.616104,0.49509257
-0.67647034,0.47822127
-0.7368367,0.46134996
-0.797203,0.44447866
-0.85756934,0.42760733
-0.91793567,0.41073602
-0.978302,0.39386472
-1.0386684,0.37699342
-1.0990347,0.3601221
-1.159401,0.3432508
-1.2197673,0.3263795
-1.2801337,0.30950817
-1.3405,0.29263687
-1.3852619,0.25056604
-1.427268,0.2040448
-1.4452314,0.14523683
-1.4583247,0.08394
-1.4714179,0.02264316
-1.46581,-0.037221674
-1.4435363,-0.09581037
-1.415616,-0.15191221
-1.3874187,-0.20788857
-1.341347,-0.25038695
-1.2952751,-0.29288533
-1.2483685,-0.334421
-1.1997722,-0.374008
-1.151176,-0.413595
-1.0983777,-0.44690922
-1.0432764,-0.4767854
-0.9881752,-0.5066616
-0.93307394,-0.53653777
-0.8779727,-0.566414
-0.82287145,-0.5962902
-0.76777023,-0.62616634
-0.7120833,-0.6547311
-0.653059,-0.67582303
-0.5940347,-0.696915
-0.5350104,-0.71800685
-0.4759861,-0.7390988
-0.41696182,-0.7601907
-0.3579375,-0.7812826
-0.2989132,-0.80237454
-0.23988892,-0.8234665
-0.18086463,-0.84455836
-0.121840335,-0.8656503
-0.062816046,-0.88674223
-0.0037917527,-0.9078342
0.05523254,-0.92892605
0.11425684,-0.950018
0.17328113,-0.9711099
0.23230542,-0.9922018
0.29274976,-0.99407506
