x_norm,y_norm
0.3821091,-0.9252913
0.42535684,-0.8732659
0.46860456,-0.8212405
0.5118523,-0.7692151
0.5551,-0.71718967
0.5983478,-0.6651643
0.6415955,-0.61313885
0.68484324,-0.5611135
0.72809094,-0.50908804
0.7713387,-0.45706263
0.8145864,-0.40503722
0.85783416,-0.35301182
0.9010819,-0.3009864
0.9443296,-0.24896102
0.9875774,-0.19693561
1.0308251,-0.1449102
1.0740728,-0.092884794
1.1173205,-0.040859386
1.1605682,0.011166022
1.203816,0.06319143
1.2470638,0.11521684
1.2903115,0.16724224
1.3335592,0.21926765
1.376807,0.27129304
1.4200547,0.32331845
1.4633024,0.37534386
1.5065502,0.42736927
1.5497979,0.47939467
1.5930456,0.5314201
1.6362933,0.5834455
1.6795411,0.6354709
1.7227888,0.6874963
1.7660365,0.73952174
1.8092842,0.7915471
1.852532,0.84357256
1.8957797,0.89559793
1.9390274,0.9476234
1.9822752,0.99964875
2.0187852,1.0510975
1.9673253,1.0950166
1.9158655,1.1389358
1.8547722,1.1554343
1.7871506,1.1533512
1.7195292,1.1512681
1.6519077,1.1491852
1.5842861,1.1471021
1.5170182,1.1403103
1.449844,1.1322709
1.3840725,1.1175514
1.3193382,1.0978924
1.2546039,1.0782334
1.1898696,1.0585743
1.1251353,1.0389153
1.060401,1.0192562
0.9956667,0.9995972
0.93093234,0.97993815
0.86619806,0.9602791
0.8014637,0.9406201
0.73672944,0.9209611
0.6719951,0.90130204
0.6072608,0.881643
0.5425265,0.86198395
0.47779217,0.8423249
0.41305786,0.82266587
0.34832355,0.8030069
0.28358924,0.78334785
0.21885495,0.7636888
0.15412064,0.74402976
0.08938632,0.7243707
0.024652014,0.7047117
-0.0400823,0.68505263
-0.10481661,0.6653936
-0.16955091,0.6457346
-0.23428522,0.62607557
-0.29901955,0.6064165
-0.36375386,0.5867575
-0.42848817,0.56709844
-0.49322248,0.5474394
-0.55795676,0.52778035
-0.6226911,0.5081214
-0.6874254,0.4884623
-0.7521597,0.4688033
-0.816894,0.44914424
-0.88162833,0.4294852
-0.9463626,0.4098262
-1.011097,0.39016715
-1.0758313,0.3705081
-1.1405655,0.35084906
-1.2052999,0.33119005
-1.2700342,0.311531
-1.3347685,0.29187196
-1.3903936,0.25645152
-1.4397447,0.21017535
-1.4655662,0.15078023
-1.4789866,0.08447105
-1.4924072,0.018161863
-1.496524,-0.047870364
-1.4791838,-0.11326384
-1.4516622,-0.17502855
-1.4186435,-0.23275587
-1.3664902,-0.27584943
-1.3141006,-0.31864282
-1.260002,-0.35926747
-1.2059034,-0.39989212
-1.1476368,-0.43342313
-1.0858186,-0.46091002
-1.0240005,-0.4883969
-0.96218234,-0.5158838
-0.9003642,-0.5433707
-0.83854604,-0.5708576
-0.7767279,-0.5983445
-0.7140906,-0.62368876
-0.6497032,-0.6444559
-0.5853158,-0.6652231
-0.52092844,-0.6859903
-0.45654106,-0.7067574
-0.39215368,-0.7275246
-0.3277663,-0.7482918
-0.26337892,-0.76905894
-0.19899154,-0.7898261
-0.13460417,-0.81059325
-0.07021679,-0.83136046
-0.0058294088,-0.8521276
0.05855797,-0.87289476
0.122945346,-0.8936619
0.18733272,-0.9144291
0.2517201,-0.9351963
0.3165463,-0.9419804
