x_norm,y_norm
-0.6904185,-0.6985805
-0.6391938,-0.7200348
-0.58796906,-0.741489
-0.5367443,-0.76294327
-0.48551962,-0.78439754
-0.43429488,-0.8058518
-0.38307017,-0.82730603
-0.33184546,-0.8487603
-0.28062072,-0.8702146
-0.22939602,-0.89166886
-0.17817129,-0.9131231
-0.12694657,-0.93457735
-0.07572185,-0.9560316
-0.024497136,-0.9774859
0.026727581,-0.9989401
0.0779523,-1.0203944
0.12917702,-1.0418487
0.18040174,-1.0633029
0.23307651,-1.0740945
0.28817025,-1.0670989
0.33265948,-1.0434356
0.36233935,-0.99649554
0.39201918,-0.9495555
0.42169905,-0.90261555
0.45137888,-0.8556755
0.48105875,-0.80873555
0.51073855,-0.7617955
0.54041845,-0.71485555
0.5700983,-0.6679155
0.5997781,-0.62097555
0.62945795,-0.5740355
0.6591378,-0.5270955
0.6888177,-0.48015553
0.7184975,-0.43321553
0.74817735,-0.38627553
0.7778572,-0.3393355
0.807537,-0.2923955
0.8372169,-0.24545552
0.86689675,-0.1985155
0.8965766,-0.1515755
0.9262564,-0.10463551
0.9559363,-0.057695504
0.98561615,-0.010755503
1.015296,0.036184497
1.0449759,0.0831245
1.0746557,0.1300645
1.1043355,0.1770045
1.1340153,0.2239445
1.1636952,0.2708845
1.1933751,0.3178245
1.2230549,0.3647645
1.2527348,0.4117045
1.2824146,0.4586445
1.3120944,0.50558454
1.3066779,0.5490179
1.2682976,0.58915764
1.2299172,0.62929744
1.1816432,0.65410787
1.1292579,0.67254776
1.0768726,0.69098765
1.0244871,0.70942754
0.9721018,0.7278674
0.9195568,0.7458441
0.8669349,0.7635977
0.81359804,0.77858526
0.758964,0.7885542
0.70445865,0.7939504
0.65047204,0.7809234
0.59648544,0.7678965
0.5424988,0.7548695
0.48851222,0.74184257
0.43452558,0.7288156
0.38053897,0.71578866
0.32655236,0.7027617
0.27256572,0.68973476
0.21857911,0.6767078
0.16459249,0.66368085
0.11060587,0.6506539
0.056619257,0.63762695
0.0026326398,0.6246
-0.05135398,0.61157304
-0.1053406,0.5985461
-0.15932721,0.58551913
-0.21331383,0.5724922
-0.26730046,0.5594652
-0.32128707,0.5464383
-0.37527367,0.5334113
-0.4292603,0.5203844
-0.48324692,0.5073574
-0.53723353,0.49433047
-0.59122014,0.4813035
-0.6452068,0.46827656
-0.6991934,0.4552496
-0.75318,0.44222268
-0.80716664,0.42919573
-0.86115324,0.41616878
-0.91513985,0.40314183
-0.96912646,0.39011487
-1.0231131,0.37708792
-1.0770997,0.36406097
-1.1310863,0.35103402
-1.185073,0.33800706
-1.2390596,0.3249801
-1.2930462,0.31195316
-1.3376564,0.28535736
-1.3689328,0.23946586
-1.3961451,0.19177838
-1.4090209,0.1377555
-1.4218967,0.08373261
-1.4335291,0.02987396
-1.4070681,-0.018952955
-1.380596,-0.067773536
-1.3523288,-0.11557759
-1.3240615,-0.16338165
-1.2888298,-0.20589514
-1.250357,-0.2459464
-1.2118841,-0.28599766
-1.1734113,-0.32604894
-1.1328038,-0.36392656
-1.0920637,-0.40166914
-1.0509995,-0.43901566
-1.005927,-0.47146127
-0.9608543,-0.50390685
-0.9157816,-0.53635246
-0.870709,-0.56879807
-0.8256364,-0.6012437
-0.7805638,-0.6336893
-0.7354911,-0.6661349
