frac,frame,N,frac_in,n_out,expand,csv,png
normal_to_cancer,50,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z050.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z050.png
normal_to_cancer,51,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z051.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z051.png
normal_to_cancer,52,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z052.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z052.png
normal_to_cancer,53,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z053.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z053.png
normal_to_cancer,54,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z054.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z054.png
normal_to_cancer,55,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z055.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z055.png
normal_to_cancer,56,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z056.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z056.png
normal_to_cancer,57,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z057.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z057.png
normal_to_cancer,58,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z058.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z058.png
normal_to_cancer,59,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z059.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z059.png
normal_to_cancer,60,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z060.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z060.png
normal_to_cancer,61,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z061.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z061.png
normal_to_cancer,62,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z062.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z062.png
normal_to_cancer,63,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z063.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z063.png
