x_norm,y_norm
-0.6945257,-0.6925207
-0.6423181,-0.71393573
-0.59011054,-0.73535085
-0.537903,-0.7567659
-0.48569542,-0.778181
-0.43348783,-0.7995961
-0.38128027,-0.8210111
-0.32907268,-0.84242624
-0.2768651,-0.8638413
-0.22465754,-0.8852564
-0.17244995,-0.90667146
-0.12024237,-0.9280865
-0.0680348,-0.94950163
-0.015827222,-0.9709167
0.036380354,-0.9923318
0.08858793,-1.0137469
0.14079551,-1.035162
0.19300309,-1.056577
0.24713196,-1.0629871
0.30305094,-1.0554171
0.34353098,-1.0234382
0.37433198,-0.9761567
0.405133,-0.92887527
0.435934,-0.8815938
0.46673504,-0.8343124
0.49753603,-0.787031
0.52833706,-0.73974955
0.55913806,-0.6924681
0.58993906,-0.64518666
0.6207401,-0.5979052
0.6515411,-0.5506238
0.6823421,-0.50334233
0.7131431,-0.4560609
0.7439441,-0.40877944
0.77474517,-0.361498
0.80554616,-0.31421655
0.83634716,-0.26693514
0.86714816,-0.21965368
0.8979492,-0.17237225
0.9287502,-0.12509081
0.9595512,-0.07780937
0.9903522,-0.030527929
1.0211532,0.016753512
1.0519543,0.06403495
1.0827552,0.11131639
1.1135563,0.15859783
1.1443573,0.20587927
1.1751583,0.25316072
1.2059593,0.30044216
1.2367604,0.3477236
1.2675613,0.39500502
1.2983624,0.44228646
1.3291633,0.4895679
1.3599644,0.5368493
1.3682129,0.5819528
1.3289331,0.6224662
1.2896534,0.6629796
1.2424848,0.6907041
1.188653,0.7076269
1.1348213,0.72454965
1.0809896,0.7414725
1.0271579,0.75839525
0.97315866,0.77476746
0.91902333,0.7906924
0.8644168,0.8043792
0.8084564,0.81163734
0.75264,0.81635416
0.69785726,0.8028233
0.64307445,0.78929245
0.5882917,0.7757616
0.5335089,0.76223075
0.47872615,0.7486999
0.42394337,0.73516905
0.36916062,0.72163826
0.31437784,0.7081074
0.25959507,0.69457656
0.2048123,0.6810457
0.15002954,0.66751486
0.09524677,0.653984
0.040463995,0.64045316
-0.0143187735,0.6269223
-0.06910154,0.61339146
-0.12388431,0.5998606
-0.17866708,0.58632976
-0.23344985,0.5727989
-0.28823262,0.55926806
-0.3430154,0.5457372
-0.39779815,0.53220636
-0.45258093,0.5186755
-0.5073637,0.5051447
-0.5621465,0.49161384
-0.61692923,0.47808298
-0.671712,0.46455213
-0.7264948,0.4510213
-0.78127754,0.43749046
-0.83606035,0.4239596
-0.8908431,0.41042876
-0.94562584,0.3968979
-1.0004086,0.38336706
-1.0551914,0.3698362
-1.1099741,0.35630536
-1.1647569,0.34277454
-1.2195398,0.3292437
-1.2743225,0.31571284
-1.3286414,0.3015014
-1.3612651,0.25545868
-1.3938888,0.20941596
-1.4096241,0.15576302
-1.4225044,0.10082361
-1.4353848,0.0458842
-1.4230009,-0.0058734566
-1.3969007,-0.055903677
-1.3693029,-0.105110206
-1.3410279,-0.15394415
-1.3081245,-0.19927092
-1.268758,-0.23970006
-1.2293916,-0.2801292
-1.1900251,-0.32055834
-1.1487069,-0.35896945
-1.106987,-0.3969652
-1.065267,-0.434961
-1.0189736,-0.4672176
-0.97262394,-0.49940372
-0.9262743,-0.5315898
-0.87992465,-0.56377596
-0.833575,-0.59596205
-0.78722537,-0.6281482
-0.7408757,-0.6603343
