x_norm,y_norm
0.3901742,-0.9073038
0.43514577,-0.85450804
0.48011735,-0.8017122
0.5250889,-0.74891645
0.5700605,-0.6961206
0.615032,-0.64332485
0.6600036,-0.590529
0.7049752,-0.53773326
0.7499467,-0.48493746
0.7949183,-0.43214166
0.8398899,-0.37934586
0.8848614,-0.32655007
0.929833,-0.27375427
0.9748046,-0.22095847
1.0197761,-0.16816269
1.0647477,-0.11536688
1.1097193,-0.06257109
1.1546909,-0.009775297
1.1996623,0.043020498
1.2446339,0.09581629
1.2896055,0.14861208
1.3345771,0.20140788
1.3795487,0.25420368
1.4245203,0.30699947
1.4694917,0.35979527
1.5144633,0.41259107
1.5594349,0.46538687
1.6044065,0.51818264
1.6493781,0.57097846
1.6943496,0.62377423
1.7393211,0.67657006
1.7842927,0.7293658
1.8292643,0.78216165
1.8742359,0.8349574
1.9192075,0.8877532
1.964179,0.940549
2.0091505,0.9933448
2.0541222,1.0461406
2.0990937,1.0989364
2.0782561,1.1460024
2.0248368,1.1902318
1.9677861,1.2231646
1.8986002,1.2183506
1.8294145,1.2135369
1.7602288,1.208723
1.691043,1.2039092
1.6221908,1.1962787
1.5537947,1.1847975
1.485825,1.1715319
1.419625,1.150858
1.3534251,1.1301843
1.2872251,1.1095105
1.2210252,1.0888367
1.1548253,1.0681629
1.0886253,1.0474892
1.0224254,1.0268153
0.95622545,1.0061415
0.8900255,0.98546773
0.82382554,0.9647939
0.75762564,0.94412017
0.6914257,0.92344636
0.6252257,0.90277255
0.55902576,0.8820988
0.49282584,0.861425
0.4266259,0.8407512
0.36042595,0.8200774
0.29422602,0.7994036
0.22802608,0.7787298
0.16182613,0.758056
0.09562618,0.73738223
0.029426241,0.7167084
-0.0367737,0.6960346
-0.10297365,0.67536086
-0.16917358,0.65468705
-0.23537353,0.63401324
-0.3015735,0.6133395
-0.3677734,0.5926657
-0.43397337,0.57199186
-0.50017333,0.5513181
-0.5663732,0.5306443
-0.6325732,0.5099705
-0.69877315,0.4892967
-0.7649731,0.46862292
-0.831173,0.4479491
-0.89737296,0.42727533
-0.9635729,0.40660155
-1.0297729,0.38592774
-1.0959728,0.36525396
-1.1621728,0.34458014
-1.2283727,0.32390636
-1.2945726,0.30323258
-1.3607726,0.28255877
-1.4138328,0.23865399
-1.4656606,0.19257037
-1.4792484,0.124574
-1.4928026,0.05655835
-1.5063568,-0.011457301
-1.501696,-0.07925013
-1.4819527,-0.14542896
-1.4541515,-0.20896576
-1.4085004,-0.2587203
-1.3540636,-0.30169103
-1.2984543,-0.3431184
-1.2424682,-0.38404986
-1.1848139,-0.4220145
-1.1207527,-0.44858518
-1.0566915,-0.4751559
-0.99263036,-0.50172657
-0.9285692,-0.5282973
-0.86450803,-0.554868
-0.80044687,-0.58143866
-0.73625416,-0.6076465
-0.6700441,-0.6282879
-0.6038341,-0.64892936
-0.5376241,-0.6695708
-0.47141406,-0.69021225
-0.40520403,-0.7108537
-0.33899403,-0.7314951
-0.272784,-0.7521365
-0.20657396,-0.772778
-0.14036395,-0.7934194
-0.07415392,-0.81406087
-0.007943895,-0.83470225
0.05826613,-0.8553437
0.12447616,-0.87598515
0.19068618,-0.8966266
0.2568962,-0.91726804
0.32331035,-0.92571694
