x_norm,y_norm
1.168393,-0.45564175
1.1757597,-0.4840188
1.1721901,-0.5126077
1.1676619,-0.5415462
1.1620111,-0.5703094
1.1561999,-0.5990453
1.150389,-0.6277812
1.125707,-0.640509
1.0987108,-0.6519088
1.0719949,-0.66398287
1.0438048,-0.6705755
1.0148923,-0.675151
0.9862327,-0.6813274
0.95757306,-0.6875038
0.9289134,-0.6936801
0.8999048,-0.697291
0.871253,-0.70350385
0.8422256,-0.70531774
0.81293535,-0.70405215
0.78376067,-0.70559496
0.75467366,-0.7092645
0.7255193,-0.7122799
0.696294,-0.7146043
0.6676399,-0.7193382
0.64048165,-0.7303813
0.6133234,-0.74142444
0.5853173,-0.7493028
0.55627555,-0.7533154
0.52722096,-0.757233
0.498174,-0.7612064
0.46914184,-0.76528764
0.44010967,-0.7693688
0.41107756,-0.7734501
0.38187218,-0.7759265
0.35263765,-0.778132
0.32344544,-0.78082955
0.29420215,-0.7815304
0.2649525,-0.7796602
0.2357428,-0.777147
0.20653312,-0.77463377
0.17732342,-0.7721206
0.1484656,-0.7746805
0.11988261,-0.7812025
0.091870114,-0.7895741
0.06417951,-0.7991371
0.03610887,-0.8075759
0.0073188953,-0.813113
-0.02147109,-0.81865
-0.05043587,-0.82298476
-0.07961069,-0.82587475
-0.10878551,-0.8287648
-0.13796034,-0.8316548
-0.16713516,-0.83454484
-0.19470935,-0.84345037
-0.22146241,-0.8554418
-0.24717616,-0.8692435
-0.27553588,-0.8751962
-0.30451798,-0.8796186
-0.33331627,-0.8845138
-0.3576702,-0.90083575
-0.38202417,-0.9171578
-0.40905452,-0.9274065
-0.43753386,-0.9343672
-0.46659982,-0.93772626
-0.49591345,-0.93724185
-0.525227,-0.93675745
-0.55454063,-0.93627304
-0.58310515,-0.9298387
-0.611624,-0.9230417
-0.64014286,-0.9162447
-0.6691577,-0.9120797
-0.6941712,-0.8976585
-0.71834356,-0.8810688
-0.742516,-0.86447906
-0.76668835,-0.8478893
-0.78574413,-0.8264268
-0.80900645,-0.8085833
-0.83226866,-0.7907397
-0.8555309,-0.7728962
-0.88040185,-0.7579011
-0.9070868,-0.7457587
-0.9337717,-0.7336164
-0.9555693,-0.71637696
-0.96690506,-0.68947005
-0.9750605,-0.6613096
-0.9893035,-0.6360877
-1.0062803,-0.6121856
-1.023257,-0.5882834
-1.0402337,-0.56438124
-1.0572104,-0.54047906
-1.0741872,-0.51657695
-1.0949692,-0.4964411
-1.1216165,-0.48659375
-1.1507001,-0.48289728
-1.1797838,-0.47920084
-1.2088673,-0.47550437
-1.2379509,-0.47180793
-1.2634406,-0.45916733
-1.286995,-0.4417114
-1.3065177,-0.42054024
-1.321211,-0.39521503
-1.3336688,-0.36867592
-1.3437717,-0.34137446
-1.3473996,-0.3127051
-1.3377478,-0.2850218
-1.3280959,-0.25733846
-1.3198539,-0.2293103
-1.3160125,-0.20028485
-1.3182255,-0.17105086
-1.3122358,-0.1424036
-1.2977192,-0.11825082
-1.2770363,-0.09747252
-1.2612518,-0.072824314
-1.2452829,-0.048276257
-1.2275364,-0.025030207
-1.2149854,0.001464915
-1.2024426,0.027963988
-1.1886098,0.053480383
-1.1684068,0.07471504
-1.1507171,0.09777678
-1.1378363,0.12411316
-1.1230984,0.14936563
-1.1065024,0.17353378
-1.0899066,0.19770193
-1.074272,0.22233894
-1.0625495,0.249211
-1.050911,0.27611926
-1.0384331,0.30262297
-1.0195917,0.3239403
-0.99540824,0.34051406
-0.9738447,0.3596618
-0.95769995,0.38413355
-0.9385232,0.40528437
-0.91268665,0.4191407
