x_norm,y_norm
-1.4448283,-0.49122405
-1.4351956,-0.5207694
-1.4158605,-0.54305845
-1.3902413,-0.56064767
-1.3669355,-0.58108747
-1.3434514,-0.6013719
-1.3182439,-0.6195294
-1.2926579,-0.63716656
-1.2670716,-0.6548037
-1.2414856,-0.6724408
-1.2189173,-0.69369775
-1.1992377,-0.71774566
-1.1795905,-0.74182266
-1.1577421,-0.76312536
-1.1298269,-0.7767801
-1.1039126,-0.79352194
-1.0800501,-0.81342924
-1.0540901,-0.83019495
-1.0265557,-0.84460217
-0.9979955,-0.85673285
-0.968961,-0.8678105
-0.9399265,-0.87888813
-0.91129786,-0.890896
-0.88227886,-0.90136325
-0.85192436,-0.9080211
-0.82157,-0.91467893
-0.79121554,-0.9213369
-0.76086116,-0.9279947
-0.7316072,-0.9377187
-0.7025897,-0.94864655
-0.67306435,-0.95833707
-0.64383847,-0.968707
-0.6157534,-0.98200923
-0.58545667,-0.98873335
-0.55504,-0.99510103
-0.52429193,-0.9959052
-0.49333444,-0.9931938
-0.46237692,-0.9904823
-0.4313426,-0.98971516
-0.4041581,-0.97667104
-0.37811896,-0.9597098
-0.35207984,-0.9427486
-0.32784662,-0.9234615
-0.30346066,-0.9044389
-0.27643847,-0.88927984
-0.24704365,-0.879197
-0.21764882,-0.86911416
-0.18825397,-0.8590313
-0.15840472,-0.8504214
-0.12843871,-0.84219
-0.098472685,-0.83395857
-0.068506666,-0.82572716
-0.037966624,-0.82026446
-0.0071979733,-0.8159044
0.023716316,-0.8134797
0.054277163,-0.8107238
0.08287605,-0.7985656
0.11147494,-0.7864075
0.14227587,-0.78516775
0.17335165,-0.7852907
0.20412214,-0.7822762
0.23459141,-0.7761653
0.26506066,-0.77005446
0.29552993,-0.7639436
0.32633498,-0.760528
0.35716265,-0.75660753
0.38808325,-0.75368655
0.41910544,-0.75185823
0.44820514,-0.742124
0.47773492,-0.7340013
0.5087239,-0.7316767
0.5397129,-0.7293521
0.57070184,-0.7270276
0.600398,-0.7318643
0.6298309,-0.72189313
0.65926373,-0.711922
0.6898058,-0.7064364
0.7207804,-0.7047658
0.7517993,-0.70664936
0.7827086,-0.70599526
0.8134497,-0.7014448
0.8441907,-0.6968943
0.87482184,-0.69168913
0.9053639,-0.68595386
0.93363506,-0.67387205
0.9634536,-0.6653518
0.99348575,-0.6573651
1.0244845,-0.65565664
1.0548909,-0.652708
1.0800779,-0.63450557
1.1057047,-0.6172386
1.1357911,-0.60945916
1.1658694,-0.6016479
1.1924644,-0.58886546
1.2072701,-0.56166905
