x_norm,y_norm
0.8595672,-1.1407293
0.85794395,-1.1719191
0.83400583,-1.1804682
0.80279577,-1.1816391
0.77158564,-1.18281
0.7403871,-1.1841894
0.7092377,-1.1864598
0.6780883,-1.1887302
0.6470207,-1.1868368
0.61598456,-1.1833442
0.5849484,-1.1798518
0.55380255,-1.1793984
0.5225859,-1.1803795
0.49136934,-1.1813606
0.46015272,-1.1823417
0.42892447,-1.1823437
0.39771974,-1.1829273
0.36656782,-1.1851631
0.33541593,-1.1873991
0.30426404,-1.1896352
0.2731207,-1.1919512
0.24220186,-1.1963629
0.21115778,-1.199628
0.18002014,-1.2019138
0.14930843,-1.1970922
0.11821008,-1.1999788
0.08711172,-1.2028655
0.055943735,-1.2011992
0.024771651,-1.1992649
-0.006400429,-1.1973306
-0.03757251,-1.1953963
-0.06874785,-1.1935545
-0.09997876,-1.1932923
-0.13119118,-1.194398
-0.16240358,-1.1955056
-0.1934498,-1.1981122
-0.22430122,-1.2018013
-0.25551268,-1.2006682
-0.28672415,-1.1995351
-0.31793562,-1.1984022
-0.34914705,-1.1972678
-0.38023856,-1.1993523
-0.41128665,-1.1975935
-0.44250053,-1.1980187
-0.4732453,-1.1991391
-0.5036673,-1.1920722
-0.53460616,-1.18784
-0.56556463,-1.1837155
-0.59652317,-1.179591
-0.6275769,-1.1786689
-0.65872914,-1.1808988
-0.68989086,-1.1829939
-0.72102064,-1.1855177
-0.7521356,-1.1842062
-0.78323185,-1.1817272
-0.81321275,-1.1845461
-0.8327038,-1.1628621
-0.8322144,-1.1316339
-0.83371836,-1.1006864
-0.83974606,-1.0703955
-0.83844197,-1.0391906
-0.8360548,-1.0080539
-0.8365611,-0.9768562
-0.83767205,-0.94564384
-0.838783,-0.9144316
-0.8410593,-0.8833031
-0.8436191,-0.85223037
-0.842019,-0.8210394
-0.83982307,-0.7899044
-0.837473,-0.7589119
-0.84009314,-0.7277899
-0.84082556,-0.6966152
-0.8399475,-0.66539556
-0.8390695,-0.6341759
-0.83816075,-0.60295707
-0.8375494,-0.57174355
-0.8395138,-0.5405734
-0.842608,-0.50953364
-0.8416094,-0.47833112
-0.8423917,-0.44712004
-0.84327835,-0.41590872
-0.839809,-0.38495973
-0.8356564,-0.35401148
-0.8319313,-0.32300234
-0.8271675,-0.29215756
-0.8295474,-0.2612037
-0.83330905,-0.23019901
-0.8370707,-0.19919433
-0.8397562,-0.16813137
-0.83936554,-0.13690183
-0.834392,-0.10694026
-0.8120186,-0.08560458
-0.7879296,-0.06572607
-0.79270655,-0.035114296
-0.7979564,-0.004326667
-0.8032063,0.026460962
-0.80845624,0.05724859
-0.8137061,0.08803622
-0.818956,0.11882385
-0.82420594,0.14961147
-0.8294558,0.1803991
-0.82718897,0.21148583
-0.8244018,0.24259327
-0.8216146,0.2737007
-0.8188274,0.30480817
-0.8160402,0.3359156
-0.81325305,0.36702305
-0.8258651,0.39513847
-0.8401634,0.4229047
-0.8462381,0.45324016
-0.84781575,0.4843785
-0.84815824,0.5156085
-0.84866524,0.5468364
-0.84721404,0.57802695
-0.85062766,0.6086441
-0.8591369,0.6386947
-0.8601201,0.6690394
-0.8539831,0.69966257
-0.85374457,0.73067904
-0.85682136,0.7617591
-0.85501266,0.7928301
-0.8522492,0.8239344
-0.84464604,0.8541278
-0.8405948,0.88495207
-0.8384227,0.9161085
-0.8362506,0.94726497
-0.8342112,0.9784295
-0.83524364,1.0095923
-0.83749217,1.0407434
-0.8397407,1.0718944
-0.8251928,1.0914886
-0.79398227,1.0904894
-0.762754,1.0909737
-0.7315257,1.091458
-0.7002975,1.0919423
-0.669082,1.0929067
-0.63787204,1.0940824
-0.6067521,1.0924593
-0.57584757,1.0880555
-0.54498947,1.0886179
-0.51409066,1.0931687
-0.48316136,1.0950519
-0.4522091,1.0908804
-0.42106542,1.0887741
-0.3899512,1.0894153
-0.35895044,1.093207
-0.32792294,1.096547
-0.2968088,1.0938345
-0.26567268,1.0916415
-0.23444062,1.0917109
-0.20320857,1.0917802
-0.17197984,1.0914004
-0.14078213,1.0903323
-0.10968672,1.0874145
-0.07851631,1.0864462
-0.047294088,1.087235
-0.016232409,1.0903859
0.014861983,1.0928205
0.046093356,1.0926234
0.077324726,1.0924262
0.1085561,1.092229
0.13978383,1.0917323
0.17093685,1.0934521
0.20206201,1.0960349
0.23320606,1.0949782
0.2643713,1.093041
0.29558566,1.0920624
0.32678565,1.0906479
0.35798565,1.0892336
0.38915986,1.0874109
0.42030647,1.0851657
0.45133132,1.0884719
0.48233345,1.092254
0.51283586,1.0983847
0.54337114,1.0983708
0.57425123,1.0936953
0.60517424,1.0932152
0.63616735,1.0970643
0.66722214,1.1000538
0.69844264,1.099203
0.7295961,1.0975252
0.7606463,1.0946196
0.7918709,1.0939431
0.82302517,1.0919355
0.85078883,1.0819051
0.858584,1.0528129
0.86365026,1.0220242
0.87097853,0.9916699
0.87902445,0.961492
0.87449324,0.93139875
0.8724505,0.90074325
0.8752829,0.86963975
0.87644964,0.8385167
0.87243235,0.8075441
0.868415,0.7765716
0.86517894,0.7455379
0.8643333,0.7143173
0.86348754,0.68309677
0.8626419,0.65187615
0.8611347,0.6206826
0.85943794,0.58949673
0.8577412,0.5583109
0.8577039,0.5271933
0.8619573,0.49625224
0.86223495,0.46517622
0.85693145,0.4345406
0.85210943,0.40368295
0.8528947,0.37249175
0.8540244,0.3412801
0.85474366,0.3100632
0.8544052,0.27883288
0.8538987,0.24760595
0.8528977,0.21639012
0.8537705,0.18520483
0.8541045,0.15400086
0.8521711,0.122891314
0.84727937,0.092044786
0.84726524,0.06107494
0.8465374,0.029922629
0.8511684,-0.0008706327
0.85647213,-0.031616736
0.85288364,-0.062610075
0.8582385,-0.093379624
0.8635934,-0.12414917
0.8698079,-0.15474328
0.8769416,-0.18514976
0.88036925,-0.21532898
0.86957383,-0.24463597
0.85877836,-0.27394298
0.8521592,-0.30423877
0.85500616,-0.33528146
0.8584336,-0.3663248
0.86172515,-0.39738283
0.8649752,-0.4284453
0.8682253,-0.45950782
0.87147534,-0.49057034
0.87320524,-0.52174383
0.8745039,-0.5529489
0.87580264,-0.5841539
0.87118834,-0.61499774
0.8661012,-0.64581263
0.86101407,-0.6766276
0.86296827,-0.7077912
0.86542326,-0.73892236
0.8631132,-0.76920843
0.8511684,-0.79806584
0.8508919,-0.8288389
0.8529838,-0.8600007
0.85507566,-0.8911626
0.8571676,-0.9223244
0.85916954,-0.95349205
0.86109096,-0.98466486
0.86273056,-1.0158428
0.8619397,-1.0470648
0.8611489,-1.0782868
0.86035806,-1.1095088
